Name,Efficiency,Type,BTU Rating,Price,Model Numbe,Link
"Miller 72,000 BTU 95% AFUE Natural/Liquid Propane Gas Mobile Home Forced Hot Air Down-Flow Furnace",95,Gas,72000,2019.17,CMF95 072 PG,http://www.homedepot.com/p/Miller-72-000-BTU-95-AFUE-Natural-Liquid-Propane-Gas-Mobile-Home-Forced-Hot-Air-Down-Flow-Furnace-CMF95-072-PG/204320462
"Kelvinator 95% AFUE 100,000 BTU 2-Stage Upflow/Horizontal Residential Natural Gas Furnace",95,Gas,100000,1857.59,KG7TC100D-35C,http://www.homedepot.com/p/Kelvinator-95-AFUE-100-000-BTU-2-Stage-Upflow-Horizontal-Residential-Natural-Gas-Furnace-KG7TC100D-35C/206511957
"Winchester 120,000 BTU 96% 2-Stage Variable Speed Multi-Positional Gas Furnace",96,Gas,120000,2883.99,W9V120-524,http://www.homedepot.com/p/Winchester-120-000-BTU-96-2-Stage-Variable-Speed-Multi-Positional-Gas-Furnace-W9V120-524/202771094
"Winchester 60,000 BTU 96% 2-Stage Variable Speed Multi-Positional Gas Furnace",96,Gas,60000,2299.99,W9V060-317,http://www.homedepot.com/p/Winchester-60-000-BTU-96-2-Stage-Variable-Speed-Multi-Positional-Gas-Furnace-W9V060-317/202771091
"Winchester 80,000 BTU 96% 2-Stage Variable Speed Multi-Positional Gas Furnace",96,Gas,80000,2449.99,W9V080-317,http://www.homedepot.com/p/Winchester-80-000-BTU-96-2-Stage-Variable-Speed-Multi-Positional-Gas-Furnace-W9V080-317/202771092
"Winchester 100,000 BTU 96% 2-Stage Variable Speed Multi-Positional Gas Furnace",96,Gas,100000,2549.99,W9V100-421,http://www.homedepot.com/p/Winchester-100-000-BTU-96-2-Stage-Variable-Speed-Multi-Positional-Gas-Furnace-W9V100-421/202771093
"Century 95 Percent 120,000 Input BTU 114,000 Output BTU Natural Gas Forced Hot Air Furnace",95,Gas,114000,2345.28,GUH95A120D5XE,http://www.homedepot.com/p/Century-95-Percent-120-000-Input-BTU-114-000-Output-BTU-Natural-Gas-Forced-Hot-Air-Furnace-GUH95A120D5XE/204074688
"Kelvinator 95% AFUE 120,000 BTU 2-Stage Upflow/Horizontal Residential Natural Gas Furnace",95,Gas,120000,2045.47,KG7TC120D-45D,http://www.homedepot.com/p/Kelvinator-95-AFUE-120-000-BTU-2-Stage-Upflow-Horizontal-Residential-Natural-Gas-Furnace-KG7TC120D-45D/206511958
"Kelvinator 95% AFUE 80,000 BTU 2-Stage Upflow/Horizontal Residential Natural Gas Furnace",95,Gas,80000,1808.15,KG7TC080D-35C,http://www.homedepot.com/b/Heating-Venting-Cooling/ENERGY-STAR-Certified/N-5yc1vZc4k8Z1z0tlzw/Ntk-SemanticSearch/Ntt-furnace?Ntx=mode+matchall&NCNI-5
"Goodman 96% AFUE 40,000 BTU Downflow Variable Speed Gas Furnace",96,Gas,40000,1222,GCVC960403BN,https://www.acwholesalers.com/Goodman-Air-Conditioner/GCVC960403BN-96-AFUE-40000-BTU-Downflow-Variable-Speed-Gas-Furnace/48452.ac?catId=cat11464&mainCat=&subCat=&trail=37481:96%
"Goodman 96% AFUE 60,000 BTU Upflow 1 Stage Gas Furnace Heater",96,Gas,60000,737,GMSS960603BN,https://www.acwholesalers.com/Goodman-Air-Conditioner/GMSS960603BN-96-AFUE-60000-BTU-Upflow-1-Stage-Gas-Furnace-Heater/48458.ac?catId=cat11464&mainCat=&subCat=&trail=37481:96%
"Goodman 96% AFUE 100,000 BTU Downflow Variable Speed Gas Furnace",96,Gas,100000,1550,GCVC961005CN,https://www.acwholesalers.com/Goodman-Air-Conditioner/GCVC961005CN-96-AFUE-100000-BTU-Downflow-Variable-Speed-Gas-Furnace/48455.ac?catId=cat11464&mainCat=&subCat=&trail=37481:96%
"Goodman 96% AFUE 120,000 BTU Downflow Variable Speed Gas Furnace",96,Gas,120000,1617,GCVC961205DN,https://www.acwholesalers.com/Goodman-Air-Conditioner/GCVC961205DN-96-AFUE-120000-BTU-Downflow-Variable-Speed-Gas-Furnace/48456.ac?catId=cat11464&mainCat=&subCat=&trail=37481:96%
Goodman 97% AFUE 80000 BTU Downflow Variable Speed Gas Furnace 1600CFM,97,Gas,80000,1698,GCVM970804CN,https://www.acwholesalers.com/Goodman-Air-Conditioner/GCVM970804CN-97-AFUE-80000-BTU-Downflow-Variable-Speed-Gas-Furnace-1600CFM/48444.ac?catId=cat11464&mainCat=&subCat=&trail=37481:97%
"Goodman 97% AFUE 100,000 BTU Downflow Variable Speed Gas Furnace",97,Gas,100000,1773, GCVM971005CN,https://www.acwholesalers.com/Goodman-Air-Conditioner/GCVM971005CN-97-AFUE-100000-BTU-Downflow-Variable-Speed-Gas-Furnace/48445.ac?catId=cat11464&mainCat=&subCat=&trail=37481:97%
"Goodman 97% AFUE 100,000 BTU Upflow Variable Speed Gas Furnace",97,Gas,100000,1706,GMVM971005CN,https://www.acwholesalers.com/Goodman-Air-Conditioner/GMVM971005CN-97-AFUE-100000-BTU-Upflow-Variable-Speed-Gas-Furnace/48440.ac?catId=cat11464&mainCat=&subCat=&trail=37481:97%
